Opinions,Original Drivers,Assigned Cluster Number,Percentage of Confidence in Assigned Cluster Number,Assigned Driver,Count for max cluster,Model
Very comfortable SUV compared to other cars.,Comfort,34,0.819495764992649,Performance,85,sttm_77
So many features are there at a low cost.,Cost,34,0.4387158831665478,Performance,85,sttm_77
New create sunroof car is super SUV.,Sunroof,34,0.9648834817509866,Performance,85,sttm_77
Excellent car performance best and look five stars???? average car best off-roading best car family pack car another car 15 lakhs best car city and villages,Family Car,34,0.9999999972153495,Performance,85,sttm_77
"Awesome design, amazing features and high performance.",Performance,34,0.9532327053197732,Performance,85,sttm_77
The performance is magnificent.,Performance,34,0.6896499340175383,Performance,85,sttm_77
Powerful engine and safety features are enhancing the car.,Safety Features,34,0.9953963401035163,Performance,85,sttm_77
"The car is very spacious and luxurious, it is well designed and gives you a very high performance,",Performance,34,0.9949764154517433,Performance,85,sttm_77
Overall driving was comfortable given a lot of equipment has been used to smoothen your ride.,Comfort,34,0.9996061349371884,Performance,85,sttm_77
"It is the perfect family car in India under 20 lakhs, it comes with really great exterior and interior.",Family Car,34,0.9985410835475823,Performance,85,sttm_77
The performance is really very poor.,Performance,34,0.6896499340175383,Performance,85,sttm_77
The performance is really nice.,Performance,34,0.6896499340175383,Performance,85,sttm_77
While long drive it feels like no jerking and very smooth performance.,Performance,34,0.9929908332023617,Performance,85,sttm_77
Just the looks given in the car but performance is very poor.,Performance,34,0.9782732409592754,Performance,85,sttm_77
The engine performance is good.,Performance,34,0.9144256852387098,Performance,85,sttm_77
When we talk about the comfort and performance this car gets a 2.2 l engine which is giving so high power to the car.,Performance,34,0.9999996249710842,Performance,85,sttm_77
Such a comfortable seating.,Comfort,34,0.30339027301031873,Performance,85,sttm_77
It's a perfect family car.,Family Car,34,0.8275982306210518,Performance,85,sttm_77
The performance of the car is really good including its interior and exterior.,Performance,34,0.9035651261519164,Performance,85,sttm_77
It has very new looks and has a fantastic performance.,Performance,34,0.6618418379663432,Performance,85,sttm_77
The car is amazing and has a great performance.,Performance,34,0.9607601828554072,Performance,85,sttm_77
It has a powerful engine as well as powerful performance.,Performance,34,0.8807973789425771,Performance,85,sttm_77
Smooth and comfortable long drives.,Comfort,34,0.7369531569315548,Performance,85,sttm_77
"Good car, fabulous model, fantastic interiors, and unbelievable SUV.",Looks,34,0.799346387269033,Performance,85,sttm_77
It is perfect family car.,Family Car,34,0.8275982306210518,Performance,85,sttm_77
Full of electronics but very poor mechanical comfort.,Comfort,34,0.418978542646703,Performance,85,sttm_77
Good performance in the suv class.,Performance,34,0.9961320114172199,Performance,85,sttm_77
"There is a new feature of a panoramic sunroof, looks amazing.",Sunroof,34,0.6023840471306191,Performance,85,sttm_77
"Worst car no performance, its just for looks.",Performance,34,0.7586903061741502,Performance,85,sttm_77
The safety features are amazing.,Safety Features,34,0.47843579812237885,Performance,85,sttm_77
looks and performance are excellent.,Performance,34,0.6618418379663432,Performance,85,sttm_77
The car is very spacious and very comfortable in terms of driving and seating on a rear seat.,Comfort,34,0.9942021171889048,Performance,85,sttm_77
Love the safety features,Safety Features,34,0.8764122041543279,Performance,85,sttm_77
.. Tiguan has fewer features high cost....interiors look premium in seltos.,Cost,34,0.9972136275150334,Performance,85,sttm_77
"Outstanding performance, luxury interiors, excellent features, exciting safety measure and big in size.",Performance,34,0.9999088804417247,Performance,85,sttm_77
"Car is very impressive, comfortable, safe and powerful.",Comfort,34,0.43032521173798766,Performance,85,sttm_77
This car looks very attractive I love this car and they give u more power and advanced features,Looks,34,0.8940469406225549,Performance,85,sttm_77
"I love this car 
 low cost, nice interior design",Cost,34,0.9927152013566315,Performance,85,sttm_77
This car is verycomfortable and the sunroof is a very good and nice look,Sunroof,34,0.7361663619261472,Performance,85,sttm_77
Good performance feel like a king ride balancing is a too good family car with a comfortable interior is so good car shape,Family Car,34,0.9998214100635495,Performance,85,sttm_77
There is not a single doubt on the performance.,Performance,34,0.928729378613983,Performance,85,sttm_77
Hector is a good family car according to me.,Family Car,34,0.9878967762833885,Performance,85,sttm_77
"The performance of this car is very punchy, one gets to rev up this diesel 2-liter engine past 5000 rpm and it has got 7-speed DSG gearbox which does it’s work phenomenally and is buttery smooth.",Performance,34,0.9999999991738614,Performance,85,sttm_77
Completely gives a premium look.,Looks,34,0.9902109546737332,Performance,85,sttm_77
"Complete family car, safety-wise good.",Family Car,34,0.957001969217941,Performance,85,sttm_77
But its engine performance is not good and the features are very less.,Performance,34,0.9339547094027417,Performance,85,sttm_77
Very comfortable and full of safety features.,Safety Features,34,0.47843579812237885,Performance,85,sttm_77
It has full pickup performance and the long drive performance is good.,Performance,34,0.999450206221982,Performance,85,sttm_77
"It is the best suv car, performance-wise",Performance,34,0.9954323153273844,Performance,85,sttm_77
The new design comes with completely stunning looks also it has a power-packed performance.,Performance,34,0.999929654094902,Performance,85,sttm_77
The normal drive mode felt comfortable.,Comfort,34,0.7202542610738846,Performance,85,sttm_77
The performance of the car is excellent.,Performance,34,0.7948622734397129,Performance,85,sttm_77
"Latest breaks, you can drive any way it still a smooth car.car will be assured all safety features.",Safety Features,34,0.9999584625176922,Performance,85,sttm_77
"Super suspension, engine performance is the best.",Performance,34,0.9893457536806959,Performance,85,sttm_77
"The car is very spacious, comfortable to drive even in city traffic.",Comfort,34,0.9955490496702178,Performance,85,sttm_77
It has top advanced safety features,Safety Features,34,0.47843579812237885,Performance,85,sttm_77
"The car is very convenient, comfortable and affordable.",Comfort,34,0.43032521173798766,Performance,85,sttm_77
It is a car with fun and style with unique performance.,Performance,34,0.9989798525281266,Performance,85,sttm_77
I love its full sunroof,Sunroof,34,0.30631624928862167,Performance,85,sttm_77
The 1.5 engines should also be a good performer while being as silent.,Performance,34,0.9263144234141,Performance,85,sttm_77
Good performance and maintenance cost is affordable.comfort driving and many features are available in this car especially in this series.,Cost,34,0.9999963393434105,Performance,85,sttm_77
"Overall a good vehicle in terms of performance, style, comfort, fuel economy and statu",Performance,34,0.9999929180986574,Performance,85,sttm_77
The overall performance of this car is good.,Performance,34,0.7948622734397129,Performance,85,sttm_77
"Amazing features, stylish look and comfortable to drive.",Looks,34,0.9342026288588596,Performance,85,sttm_77
"loved the engine response especially at low rpm, very fun to drive.",Performance,34,0.9999973324698549,Performance,85,sttm_77
It so comfortable and it is feature loaded along with a sunroof also with the comfortable automatic nice car we will rate it 5 stars.,Sunroof,34,0.992632609459988,Performance,85,sttm_77
"Very attracting performance, good experience to drive a long drive.",Performance,34,0.9997987976965936,Performance,85,sttm_77
superb driving position & big panoramic sunroof,Sunroof,34,0.9812498127852661,Performance,85,sttm_77
Overall performance is good when compared to other SUVs.,Performance,34,0.9187443174015396,Performance,85,sttm_77
"Awesome drive, smooth, comfortable, stylish, picnic family car.",Family Car,34,0.9853024519399334,Performance,85,sttm_77
What an absolutely disgusting looking car.,Looks,34,0.8926064308363549,Performance,85,sttm_77
I can't even express the comfort and the fun while driving it..it is was totally amazing by all sides concern...and I am going to purchase my car in the coming Dussehra 019...,Comfort,34,0.999999940405116,Performance,85,sttm_77
Jeep compass is an excellent suv which scores on safety features and excellent all round performances.,Safety Features,34,0.9998386907959317,Performance,85,sttm_77
"Best car, this SUV looks so beautiful",Looks,34,0.856591795239734,Performance,85,sttm_77
The 1.5l NA petrol will provide poor performance considering the power figures and the size/weight of the vehicle.,Performance,34,0.9999997567775406,Performance,85,sttm_77
"It's very comfortable for a long drive, I drive on 160 and gives very good performance",Performance,34,0.9996231563292102,Performance,85,sttm_77
Amazing car.,Cost,34,0.43032521173798766,Performance,85,sttm_77
"It's a good car, the pickup is fantastic, the safety features are very good.",Safety Features,34,0.9863429822451981,Performance,85,sttm_77
And it is a very comfortable car and very good looking car,Looks,34,0.5288221837368143,Performance,85,sttm_77
Amazing car with a lot of space and features.,Cost,34,0.673866297872659,Performance,85,sttm_77
Amazing power and performance.,Performance,34,0.8234578133837104,Performance,85,sttm_77
Worst looking SUV,Looks,34,0.7401369666863984,Performance,85,sttm_77
This is a very handsome looking car.,Looks,34,0.4399817731057267,Performance,85,sttm_77
The panoramic sunroof gives a beautiful experience of surroundings.,Sunroof,34,0.9868966183595705,Performance,85,sttm_77
I would say that driving experience was very good and the sunroof is awesome in this price segment.,Sunroof,34,0.75683845366619,Performance,85,sttm_77
"Posh looks and superb performance, the complete family car.",Family Car,34,0.9399335471855269,Performance,85,sttm_77
The driving is comfortable.,Comfort,34,0.7369531569315548,Performance,85,sttm_77
This is a very excellent car with full safety features and with high speed.,Safety Features,34,0.924565576250422,Performance,85,sttm_77
A nice car with a powerful engine with the best performance.,Performance,34,0.9240491272766765,Performance,85,sttm_77
Good looking stylish car of the year.,Looks,34,0.9243557295323744,Performance,85,sttm_77
"You will get a full package at an affordable price, loved it.",Cost,34,0.7016560258766666,Performance,85,sttm_77
Performance is great and looking dynamic from the front.,Performance,34,0.6618418379663432,Performance,85,sttm_77
The panoramic sunroof in the top version gives you a feel of riding a convertible.,Sunroof,34,0.9743555026510992,Performance,85,sttm_77
It is an excellent suv which scores on safety features and excellent all-round performances.,Safety Features,34,0.9997767724096426,Performance,85,sttm_77
"The car is really very good with a high-performance engine, comes with all the tech expected in an indian car.",Performance,34,0.9992131430718861,Performance,85,sttm_77
The engine performance is high and it's especially good for ladies and old people.,Performance,34,0.9933413772669288,Performance,85,sttm_77
"Its performance is phenomenal, outstanding and off-roading capabilities are awesome.",Performance,34,0.9951287679775683,Performance,85,sttm_77
It has a panoramic sunroof I love this car,Sunroof,34,0.6199011869848321,Performance,85,sttm_77
"Very good car high performance, very high speed andit is a luxury car.",Performance,34,0.9907337038399606,Performance,85,sttm_77
The diesel engine is a punchy performer on the highway while being easy to drive inside the city.,Performance,34,0.9999627812008582,Performance,85,sttm_77
It is fully comfortable and luxurious car.,Comfort,34,0.898191780129553,Performance,85,sttm_77
Very good and nice looking car.,Looks,34,0.4399817731057267,Performance,85,sttm_77
It has good safety features.,Safety Features,34,0.47843579812237885,Performance,85,sttm_77
Look wise so good and performance also better than other car.,Performance,34,0.7586903061741501,Performance,85,sttm_77
It gives smooth and comfortable driving.,Comfort,34,0.9885408171874907,Performance,85,sttm_77
"Performance is outstanding with 1.4-liter petrol engine because it drives smoothly, punchier and nicer to drive.",Performance,34,0.9999991756580465,Performance,85,sttm_77
Fabulous design with a comfortable interior.,Comfort,34,0.7371117251890053,Performance,85,sttm_77
It is a very nice car with all the safety features.,Safety Features,34,0.829683298917181,Performance,85,sttm_77
Sporty and comfortable vehicle for a family.,Comfort,34,0.9823660963728943,Performance,85,sttm_77
Its style is very nice.,Looks,34,0.6762385764935471,Performance,85,sttm_77
"The best family car, city drive is really great, the interiors make you feel the special and all-around class-leading car.",Family Car,34,0.9999375426852051,Performance,85,sttm_77
Both variants have their own comfort.,Comfort,34,0.418978542646703,Performance,85,sttm_77
Indeed one of the best-looking SUVs.,Looks,34,0.7401369666863984,Performance,85,sttm_77
Expected better distribution of the safety features.,Safety Features,34,0.960009018825721,Performance,85,sttm_77
I like the busy but futuristic looks.,Looks,34,0.4191017721374305,Performance,85,sttm_77
"I have driven this car a lot and getting an excellent performance, fantastic and user-friendly latest features.",Performance,34,0.9999706291591608,Performance,85,sttm_77
Riding experience is awesome and looks also good.,Looks,34,0.9890378742776179,Performance,85,sttm_77
It gives a comfortable driving experience.,Comfort,34,0.9954503498945347,Performance,85,sttm_77
It was awesome looking especially the exterior,Looks,34,0.7673628184818534,Performance,85,sttm_77
"Nice car really great car, loved it great features and it is a nice family car.",Family Car,34,0.9752437482859542,Performance,85,sttm_77
It is a very comfortable SUV and powerful as well.,Comfort,34,0.6786285964822136,Performance,85,sttm_77
The safety features are great and comes in affordable price.,Safety Features,34,0.84992443069052,Performance,85,sttm_77
"Performance is good on both highway and city, the turbo engine is a good reason to buy this car right away.",Performance,34,0.9999995680560579,Performance,85,sttm_77
Overall the feel and comfort of the car are great.,Comfort,34,0.7735968567666023,Performance,85,sttm_77
"The car is awesome... stylish look, best power delivery, safety in driving, smoothness, ultra comfort ness",Looks,34,0.9999992385461332,Performance,85,sttm_77
I have been satisfied with its performance.,Performance,34,0.6896499340175383,Performance,85,sttm_77
Performance is top class according to its power.,Performance,34,0.9593026131825438,Performance,85,sttm_77
The driving is comfortable and safe.,Comfort,34,0.7369531569315548,Performance,85,sttm_77
Look wise car is awesome.,Looks,34,0.4399817731057267,Performance,85,sttm_77
Safety features are awesome.,Safety Features,34,0.47843579812237885,Performance,85,sttm_77
"Also, it has outstanding performance when it comes to off-roading",Performance,34,0.9809240546114223,Performance,85,sttm_77
It drives like a sedan and is very comfortable car.,Comfort,34,0.97456715618378,Performance,85,sttm_77
Buying experience: the best price of this car superb.,Cost,34,0.9265991161908168,Performance,85,sttm_77
"The driving comfort is good, pickup is fantastic.",Comfort,34,0.9914527420743598,Performance,85,sttm_77
"It is an amazing car, it is having a sunroof which is a very good feature and a very interesting design.",Sunroof,34,0.8834090920020958,Performance,85,sttm_77
"thats not fine by me, i would love to have this.",Ventilated Seats,34,0.4217909369620152,Performance,85,sttm_77
"The car is awesome... stylish look, best power delivery, safety in driving, smoothness, ultra-comfortable",Comfort,34,0.9999804774158262,Performance,85,sttm_77
Jeep compass is a high performance vehicle with overall specifications is very excellent.,Performance,34,0.9993240431273286,Performance,85,sttm_77
The driving is very smooth and comfortable.,Comfort,34,0.7628590530146283,Performance,85,sttm_77
It is an excellent SUV that scores on safety features and excellent all-round performances.,Performance,34,0.9997767724096426,Performance,85,sttm_77
Great performance and smooth ride.,Performance,34,0.7439206605732885,Performance,85,sttm_77
This car is more comfortable and the performance is also very good.,Performance,34,0.7948622734397129,Performance,85,sttm_77
"Worst experience with the model, there is no drive modes in diesel automatic and not good safety features like airbags as it gives only 2 airbags in the top diesel model.",Safety Features,34,0.9999996112927544,Performance,85,sttm_77
The engine of the car gives good performance.digitally equipped interior.,Performance,34,0.9998635342285179,Performance,85,sttm_77
"Worst experience with Kia seltos, there is no drive modes in diesel automatic and not good safety features like airbags as it gives only 2 airbags in the top diesel model.",Safety Features,34,0.9999999737160962,Performance,85,sttm_77
The overall performance of the vehicle is awesome.,Performance,34,0.9947898166663445,Performance,85,sttm_77
Great performance and great experience of smooth driving.,Performance,34,0.9977970704496095,Performance,85,sttm_77
"A good performance car with all-new features, I really liked the power of the engine.",Performance,34,0.9893160338403827,Performance,85,sttm_77
Best car with best performance.,Performance,34,0.7948622734397129,Performance,85,sttm_77
Overall very good performance.,Performance,34,0.6896499340175383,Performance,85,sttm_77
Jeep compass is an excellent suv which scores on safety features and excellent all round performances.,Performance,34,0.9998386907959317,Performance,85,sttm_77
Great engine performance car.,Performance,34,0.9240491272766765,Performance,85,sttm_77
The car performance is quite decent and the best engine in terms of catching speed very good car.,Performance,34,0.9958507714720898,Performance,85,sttm_77
The black and white colors look very aesthetic.,Looks,27,0.8869739918361532,Cost,24,sttm_77
"And by heaven, the price tags of cars these days are verging on the ridiculously Stratospheric.",Cost,27,0.9999996699973719,Cost,24,sttm_77
"The same car now costs roughly 2.5x what it did then, which is atrocious.",Cost,27,0.782019548755822,Cost,24,sttm_77
"However, the unit looks outdated with poor resolution and colors, clearly looks a generation older.",Looks,27,0.9999924522746912,Cost,24,sttm_77
There is one price range where the consumers have very few options.,Cost,27,0.9999184545293299,Cost,24,sttm_77
Looks gorgeous in silver and black color.,Looks,27,0.8869739918361532,Cost,24,sttm_77
Good car with a price tag but the height of the car should be a little higher.,Cost,27,0.9993222788970103,Cost,24,sttm_77
But talking about performance and stability it just sucks!,Performance,27,0.9915578924770466,Cost,24,sttm_77
Very affordable price.,Cost,27,0.45526433153169205,Cost,24,sttm_77
Lovely car and that touchscreen infotainment system look futuristic.,Infotainment System,27,0.7675106917424142,Cost,24,sttm_77
And yes only because of its heavyweight this car sucks at the performance.,Performance,27,0.9808305217281762,Cost,24,sttm_77
The glossy surfaces even in the photos look really bad.,Looks,27,0.9750821503922925,Cost,24,sttm_77
But this isn't expected with the harrier considering its price range and the #aboveall marketing.,Cost,27,0.9999999873911388,Cost,24,sttm_77
And yes they put it on the right price tag,Cost,27,0.9955564968127146,Cost,24,sttm_77
"It is good looking car from exterior and interiorexcellent music system and auto gear shift also a new type of speedometer 
 sunroof feature is also very nice and this car is having comfortableseats ..",Infotainment System,27,0.9999999996735913,Cost,24,sttm_77
But it looks short on height and narrow,Looks,27,0.7366864336394153,Cost,24,sttm_77
Looking so stylish and a new generation SUV car today.,Looks,27,0.9991495583803577,Cost,24,sttm_77
This is one of the best SUV segment cars available at an affordable price range as it provides a touchscreen infotainment system with jbl speakers.,Infotainment System,27,0.999999956798639,Cost,24,sttm_77
#NAME?,Infotainment System,27,0.6503927898824854,Cost,24,sttm_77
Though this cost impact is not prohibitively high considering the utility.,Cost,27,0.9987548188346571,Cost,24,sttm_77
"Awesome looking stylish, my dream car, there is none in the competition in this price range.",Cost,27,0.999981775260868,Cost,24,sttm_77
Car is having a large boot space and available at a different price range.,Boot Space,27,0.9976874289819697,Cost,24,sttm_77
A new vehicle which is really above all in such a price range.,Cost,27,0.9882214760859854,Cost,24,sttm_77
Very spacious car with pretty good features and establishes a bold look.,Looks,27,0.9838512048801344,Cost,24,sttm_77
Car is available at an affordable price.,Cost,27,0.6296928125828272,Cost,24,sttm_77
"After a long time tata launch the tata harrier, it's a very stylish car but in terms of price, it's very costly.",Cost,27,0.9999985196905451,Cost,24,sttm_77
It is a great car in this reasonable price range.,Cost,27,0.9866496832790118,Cost,24,sttm_77
Overall it's at the best price.,Cost,27,0.45526433153169205,Cost,24,sttm_77
Overall the harrier looks much smarter.,Looks,27,0.5556211118469957,Cost,24,sttm_77
This is the best luxury car in a good price range.,Cost,27,0.9964817962348925,Cost,24,sttm_77
It is a good car in this price range.,Cost,27,0.9866496832790118,Cost,24,sttm_77
An amazing car with the best features and at an affordable price range.,Cost,27,0.9710235874362217,Cost,24,sttm_77
"Literally, the best in the price range, you can get a jeep company car but any car at this price range can't beat this.",Cost,27,0.9999999968655805,Cost,24,sttm_77
It is the best option in this price range.,Cost,27,0.9987345843335738,Cost,24,sttm_77
"And, I think this is the best car in this price range.",Cost,27,0.9907830846744264,Cost,24,sttm_77
This is the best SUV under this price range.,Cost,27,0.9991954813908452,Cost,24,sttm_77
Best car in the price range.,Cost,27,0.9866496832790118,Cost,24,sttm_77
Perfect car in the price range.,Cost,27,0.9866496832790118,Cost,24,sttm_77
It's not a car but its the best option in this price range.,Cost,27,0.9997080299270987,Cost,24,sttm_77
Looks great! happy miles,Looks,27,0.7357715828687784,Cost,24,sttm_77
The sunroof has also added a good look to the level of the car.,Sunroof,27,0.9589883381408074,Cost,24,sttm_77
Strong car with nice interior and performance enabled in it.,Performance,27,0.5689198591632941,Cost,24,sttm_77
This is the best SUV between 30lakethis is the best comfortable car in this segment is speed,Comfort,27,0.9984326576146266,Cost,24,sttm_77
"That ""internet inside"" captions on the side of the car look very bad.",Looks,27,0.9836637057150014,Cost,24,sttm_77
The car is very durable and has a fantastic music system.,Infotainment System,40,0.8683523460303946,Infotainment System,34,sttm_77
One of the worst bose systems I have seen is in this car,Infotainment System,40,0.9849227205351078,Infotainment System,34,sttm_77
The mood lights are just too gimmicky.,Mood Lights,40,0.9745636512260363,Infotainment System,34,sttm_77
"The music system is very outdated and lethargic with a 
 a lot of bugs.",Infotainment System,40,0.9999508568115594,Infotainment System,34,sttm_77
Bose sound system? wow,Infotainment System,40,0.9994300801992393,Infotainment System,34,sttm_77
Pathetic music system,Infotainment System,40,0.9024700167353233,Infotainment System,34,sttm_77
The huge infotainment system really catches attention.,Infotainment System,40,0.9935361688602108,Infotainment System,34,sttm_77
The infotainment system is average but not best.,Infotainment System,40,0.5037320498728249,Infotainment System,34,sttm_77
I love the sound system.,Infotainment System,40,0.9979827563275736,Infotainment System,34,sttm_77
The sound system is extraordinary.,Infotainment System,40,0.5037320498728249,Infotainment System,34,sttm_77
Very high standard car and the tire is massive.fully electronic systems and safe car.,Safety Features,40,0.9942328125268567,Infotainment System,34,sttm_77
"They should work on the infotainment system, tire Tronics and some other basic features and no one will be in que to compete with them because everything else is perfect.",Infotainment System,40,0.9999998899274009,Infotainment System,34,sttm_77
The 10 speaker music system sound amazing.,Infotainment System,40,0.9998437235038458,Infotainment System,34,sttm_77
It is comfortable for a long journey.,Comfort,40,0.42721881414728347,Infotainment System,34,sttm_77
"Kids loved the features, especially the canton music system, and the expansive sun/moon roof.",Infotainment System,40,0.9999998764101552,Infotainment System,34,sttm_77
The bose sound system sounded good with some FM radio songs.,Infotainment System,40,0.9999999920231819,Infotainment System,34,sttm_77
"The music system is nice, but not as nice as the MGs.",Infotainment System,40,0.9899873187489822,Infotainment System,34,sttm_77
"The touch screen infotainment system and the speaker's output is amazing, the tires should be improved.",Infotainment System,40,0.9999431082132503,Infotainment System,34,sttm_77
The steering is light and comfortable for a long journey.,Comfort,40,0.9924734327518602,Infotainment System,34,sttm_77
The car is very comfortable to drive with a good music system.,Infotainment System,40,0.43349848817537834,Infotainment System,34,sttm_77
The car mood lighting is linked to music,Mood Lights,40,0.9999610577146835,Infotainment System,34,sttm_77
Led sound mood lights flicker a lot and are very distracting.,Mood Lights,40,0.999982041638471,Infotainment System,34,sttm_77
1.the car comes with fewer features even I base model there is no music system.,Infotainment System,40,0.9995946973791549,Infotainment System,34,sttm_77
The car sound system is very perfect.,Infotainment System,40,0.9899956246773333,Infotainment System,34,sttm_77
"The clock in the music system frequently gets misaligned, giving wrong times,
 15.",Infotainment System,40,0.999706393146254,Infotainment System,34,sttm_77
The inbuilt sound system provided by the company has an ideal sound effect and base with voice clarity.,Infotainment System,40,0.9999994734207618,Infotainment System,34,sttm_77
"This carsound system is amazing 
 I love this sound",Infotainment System,40,0.9999779122351046,Infotainment System,34,sttm_77
"Very spacious, comfortable, features enabled and very nice infotainment system.",Infotainment System,40,0.9132911447941106,Infotainment System,34,sttm_77
Excellent infotainment system support system android auto and apple car play and many more features.,Infotainment System,40,0.9999991745811605,Infotainment System,34,sttm_77
The infotainment system is too good for sound quality is awesome.,Infotainment System,40,0.9760738459847672,Infotainment System,34,sttm_77
"It has better interiors, best music system.",Infotainment System,40,0.9315283432605541,Infotainment System,34,sttm_77
"The music system is great as well as the electronic break, it is a great feature.",Infotainment System,40,0.8524255519480172,Infotainment System,34,sttm_77
The infotainment system is great as it supports most regional language,Infotainment System,40,0.9959394615181075,Infotainment System,34,sttm_77
"Its latest technology of led mood light, smart 8.0 hud and hd touchscreen.",Mood Lights,40,0.9999947889356191,Infotainment System,34,sttm_77
It is because of its mediocre music system.,Infotainment System,40,0.9024700167353233,Infotainment System,34,sttm_77
The sound- mood lighting is indeed a gimmick,Mood Lights,40,0.9997429533076928,Infotainment System,34,sttm_77
"Interiors are very good, the music system is excellent, cabin lights are very good giving pleasure like heaven.",Infotainment System,40,0.9999999009946987,Infotainment System,34,sttm_77
"Awesome features and top-class looks, a good controlling system, and a mind-blowing music system.",Infotainment System,40,0.9999997884980094,Infotainment System,34,sttm_77
The music system is excellent.,Infotainment System,40,0.9024700167353233,Infotainment System,34,sttm_77
The music system sounds excellent.,Infotainment System,40,0.9988996928116332,Infotainment System,34,sttm_77
The infotainment system is superb.,Infotainment System,40,0.5037320498728249,Infotainment System,34,sttm_77
Looks mind-blowingly good!,Looks,40,0.920084719381455,Infotainment System,34,sttm_77
The mood lighting feature is attractive.,Mood Lights,40,0.9449450607905826,Infotainment System,34,sttm_77
The infotainment system is too primitive for my liking.,Infotainment System,40,0.26833007078799653,Infotainment System,34,sttm_77
"Spacious and comfortable 
 had an excellent experience while offroading in the hilly terrain.",Comfort,40,0.9947401417600386,Infotainment System,34,sttm_77
"If the ground clearance would have been a little bit more, I can use it in my pipeline projects.",Ground Clearance,23,0.9999984941190849,Boot Space,26,sttm_77
And boot space is extra large.,Boot Space,23,0.989578331444581,Boot Space,26,sttm_77
Chaps wanting SUV or crossover type ground clearances may be disappointed.,Ground Clearance,23,0.9999999287611595,Boot Space,26,sttm_77
"But for me, all it does is eats away god amount of usable the boot space, which is already way behind in Creta than the competition, i.e., around 475 ltrs.",Boot Space,23,0.9999999646598177,Boot Space,26,sttm_77
Ground clearance is good and leg rooms is more than enough for tall people also.,Ground Clearance,23,0.9999962651828914,Boot Space,26,sttm_77
This is the most four-wheel 4x4 SUV in India ground clear is very good and good looking big interior boot space,Boot Space,23,0.9999992331020233,Boot Space,26,sttm_77
Ground clearance of the vehicle is quite good but could have been a little more.,Ground Clearance,23,0.9525729518135752,Boot Space,26,sttm_77
"But rear-seat little short, and boot space is little, please increase boot space.",Boot Space,23,0.9959263384366187,Boot Space,26,sttm_77
"It has smooth brakes, comfortable seats, appropriate leg space, sufficient boot space, and enough ground clearance.",Boot Space,23,0.999999936107182,Boot Space,26,sttm_77
The black bumpers suddenly look like an eyesore.,Looks,23,0.9357686746309041,Boot Space,26,sttm_77
I didn't like the ground clearance of the Tiguan and I find it too small.,Ground Clearance,23,0.9998676663820107,Boot Space,26,sttm_77
It has large wheels and decent boot space.,Boot Space,23,0.9971193874671884,Boot Space,26,sttm_77
But they have to improve a little bit of transmission and engine performance.,Performance,23,0.9975416955344696,Boot Space,26,sttm_77
The Fortuner is a very good SUV car for Indian roads because of its high ground clearance and very powerful engine.,Ground Clearance,23,0.9992945167255126,Boot Space,26,sttm_77
Large boot space is available.,Boot Space,23,0.922372664517846,Boot Space,26,sttm_77
"Over costly Fortuner, no sunroof and no automatically side mirror losers car",Cost,23,0.9870121725826743,Boot Space,26,sttm_77
It's got higher ground clearance and superb 17 inch alloy wheels!,Ground Clearance,23,0.999999642024949,Boot Space,26,sttm_77
", boot space is good, ground clearance is good, it will help for bumpy roads, unethical speed breakers especially in Bangalore.",Boot Space,23,0.9999999897219719,Boot Space,26,sttm_77
The looks of the car are amazing with good ground clearance and great mileage.,Ground Clearance,23,0.9679809179297023,Boot Space,26,sttm_77
"With all 7 seats up you only get boot space just like a hatchback.
 interior",Boot Space,23,0.9996491613799021,Boot Space,26,sttm_77
Great comfortable seating and excellent ground clearance getting in this car.,Ground Clearance,23,0.99971680242303,Boot Space,26,sttm_77
"Excellent performance, power is great, and boot space is great.",Performance,23,0.9974439260625323,Boot Space,26,sttm_77
Excellent car with good ground clearance.,Ground Clearance,23,0.9654007617488586,Boot Space,26,sttm_77
"This car has amazing performance, leg space, boot space is amazing.",Boot Space,23,0.9999840712325518,Boot Space,26,sttm_77
"Space of compass is enough for 5 people, but the rear seats are uncomfortably vertical, causing pains and cramps in the abdomen for a bit fat people on long drives.",Comfort,23,0.999999977301482,Boot Space,26,sttm_77
Perfect ground clearance.,Ground Clearance,23,0.9695149920136586,Boot Space,26,sttm_77
Boot space is also nice.,Boot Space,23,0.922372664517846,Boot Space,26,sttm_77
The height of the car and the ground clearance is superb for Indian roads.,Ground Clearance,23,0.9959898512295766,Boot Space,26,sttm_77
Boot space is quite good and must be on par with creta.,Boot Space,23,0.9986639960714012,Boot Space,26,sttm_77
Has excellent ground clearance and a luxurious interior.,Ground Clearance,23,0.9934766273749783,Boot Space,26,sttm_77
The boot space is quite good.,Boot Space,23,0.922372664517846,Boot Space,26,sttm_77
The boot space is really good.,Boot Space,23,0.922372664517846,Boot Space,26,sttm_77
i found the sunroof to have the maximum appeal as well as the most vulnerable as far as part failure is concerned.,Sunroof,23,0.9991974437894315,Boot Space,26,sttm_77
Best view and ground clearance is perfect,Ground Clearance,23,0.9996222624373577,Boot Space,26,sttm_77
The boot space is remarkable.,Boot Space,23,0.922372664517846,Boot Space,26,sttm_77
It is best in ground clearance.,Ground Clearance,23,0.9695149920136586,Boot Space,26,sttm_77
"Nice car with good looks, best price best in class boot space.",Boot Space,23,0.9865864274907725,Boot Space,26,sttm_77
